Amostra,Espectro,Grao,Local,Pico,Centro,FWHM_Gauss,Amplitude,Area_Gauss,Area_Numerica,R2,Chi2,Categoria_Dano,Dose_Estimada
22,1,1,1,1,214.90963221394924,7.897530092490686,0.06663640776340891,0.5601468385755357,0.5470608688453485,0.8801401538302716,0.1518224718149894,Baixo dano,0.4665672370060594
22,1,1,1,2,356.22685976633716,9.439683857509538,0.16473891774185045,1.6552083972320473,1.3144625552259255,0.9995485296385864,0.0008126466505445316,Dano moderado,0.5850509107724577
22,1,1,1,3,439.3138846940721,10.769744061372403,0.37900535317353923,4.3445995152218835,3.1541662476933165,0.9996893339969942,0.0005591988054103554,Dano moderado,0.6872394362352418
22,1,1,1,4,974.2835639928511,9.249307224495524,0.1890932299304491,1.8615907316955984,1.4165984279186117,0.9997831503276117,0.0003903294102989857,Dano moderado,0.5704242740579911
22,1,1,1,5,1007.9389254400696,7.228636399581335,0.9999999999999999,7.694057064211212,6.66665248481545,0.995726311572416,0.0076926391696512065,Baixo dano,0.41517613457983393
22,2,2,1,1,356.101426689784,9.387189279796267,0.15890422958563455,1.587705885513379,1.40821741536136,0.9994974140512389,0.0007897779194816308,Dano moderado,0.5810177523667471
22,2,2,1,2,439.16338722858654,10.270675294137417,0.3398230157912842,3.7149315135230907,2.7857791861197114,0.9999561554991946,7.892010144978938e-05,Dano moderado,0.6488959828485777
22,2,2,1,3,974.5553693547402,9.366627075591913,0.1769528788340825,1.7641677747527806,1.332570729245455,0.9997439584300774,0.0004608748258607071,Dano moderado,0.5794379582177266
22,2,2,1,4,1007.8890925333062,7.549420640529802,0.9999999999999999,8.035495216405467,6.8232746043554755,0.997223275121901,0.00499810478057819,Baixo dano,0.4398219878119046
22,3,3,1,1,356.04247250806094,9.726822503192206,0.16102481844406688,1.6671045304952878,1.2974216329085764,0.9997131186673873,0.0005163863987028181,Dano moderado,0.6071117729202572
22,3,3,1,2,439.13372928780313,9.613402877374583,0.3052849904668835,3.1237884746495683,2.734829264438022,0.999841221075672,0.0002495097382296869,Dano moderado,0.5983977430686891
22,3,3,1,3,974.5159740057043,9.404128666983999,0.1773909383240009,1.7756158625937222,1.3380297779370203,0.9993455151568608,0.0011780727176505523,Dano moderado,0.5823192054843805
22,3,3,1,4,1007.8168978414318,7.591483700052508,0.9999999996266774,8.080266531570281,6.841243227351738,0.9974475188396194,0.0045944660886851115,Baixo dano,0.44305369267503414
22,4,4,1,1,356.0157932239901,9.797752224643862,0.16578246637018482,1.7288768996006767,1.3390861271697418,0.9999256585015922,0.00013381469713408183,Dano moderado,0.6125613034193879
22,4,4,1,2,439.08751673663716,10.083987465033717,0.33422034358617925,3.5872711202706573,2.722962127174325,0.9999754848101288,4.41273417682202e-05,Dano moderado,0.6345527569385404
22,4,4,1,3,974.3223984161489,9.049641630286239,0.17436971518870287,1.6795829688506954,1.295526320226734,0.999770738622208,0.0004126704800255939,Dano moderado,0.5550839664548917
22,4,4,1,4,1007.7497373113054,7.390445774236598,0.9999999999999999,7.866284645362484,6.742473511794823,0.9967467427201042,0.0058558631038123695,Baixo dano,0.42760794883459785
22,5,5,1,1,355.84310645553467,9.343123906204571,0.15414066300331225,1.5328806915031188,1.3618495890429114,0.9992842167592716,0.001124802235430281,Dano moderado,0.5776322097136972
22,5,5,1,2,439.18952732649217,9.869413096753203,0.3228615104921113,3.391615600812655,2.9339624531495434,0.9993003277726702,0.0010994849286611226,Dano moderado,0.6180670082235485
22,5,5,1,3,974.247970192864,8.978696480986075,0.17206450437177337,1.6443853589806499,1.2737064628141752,0.9997713447048384,0.00041157953129082527,Dano moderado,0.5496332506341601
22,5,5,1,4,1007.7499197903123,7.309303137480732,0.9999999999999999,7.779917584823049,6.70244524021323,0.9964508709567436,0.006388432277861624,Baixo dano,0.4213737600526446
22,6,6,1,1,215.07479241413822,8.5788763497689,0.06732337884080272,0.6147454673445327,0.5919540969233182,0.8738346241417301,0.1598094760871419,Dano moderado,0.5189150699527445
22,6,6,1,2,356.0062928563849,9.642681954327879,0.16436327665924597,1.6869478452333446,1.318550843782864,0.9998593013360503,0.00025325759510956883,Dano moderado,0.6006472545510109
22,6,6,1,3,439.0771635641753,9.628574923877187,0.31240651530089186,3.2017035643692475,2.8022464190322456,0.9998325267976056,0.00026317217519117086,Dano moderado,0.5995634114014842
22,6,6,1,4,974.3479707324233,9.21826738512483,0.17412783918193148,1.708506103281139,1.3032785446690123,0.9997969551748084,0.0003654806853448454,Dano moderado,0.5680394831991407
22,6,6,1,5,1007.7432348809424,7.439149104895978,0.9999999999999999,7.918123773048047,6.76574364886624,0.9970550741805967,0.005300866474926003,Baixo dano,0.4313498257291579
22,7,7,1,1,214.78305645362587,7.6760041708172695,0.06592869690978415,0.5386525457066786,0.5286657484476504,0.8708985566937243,0.1635284948546159,Baixo dano,0.44954740044389074
22,7,7,1,2,355.8145113888303,9.401575569052238,0.16395995121129486,1.640731228964549,1.4545783555894005,0.9993643115721935,0.000998938957981593,Dano moderado,0.5821230509702834
22,7,7,1,3,439.06700208066695,10.159759255401983,0.34618447968116706,3.743605125839086,2.828938243011317,0.9999572929019884,7.687277642077582e-05,Dano moderado,0.6403743035925343
22,7,7,1,4,974.2068613951583,9.01362338655805,0.1579078820652915,1.5149637439714474,1.170280175573403,0.9997328156521881,0.00048093182606144893,Dano moderado,0.552316684789255
22,7,7,1,5,1007.7810287987401,7.264746183391431,0.9999999980300119,7.732491785746534,6.68168335330988,0.9963980970011673,0.006483425397898745,Baixo dano,0.4179504492699636
